epoch_type,n_start,n_end,length
SHOCK_FREE,35502,35549,48
SHOCK_FREE,35690,35711,22
SHOCK_FREE,35742,35765,24
SHOCK_FREE,35774,35805,32
SHOCK_FREE,35822,35841,20
SHOCK_FREE,35844,35879,36
SHOCK_FREE,35882,35907,26
SHOCK_FREE,35910,35937,28
SHOCK_FREE,35958,36017,60
SHOCK_FREE,36032,36057,26
SHOCK_FREE,36144,36165,22
SHOCK_FREE,36204,36245,42
SHOCK_FREE,36260,36285,26
SHOCK_FREE,36288,36329,42
SHOCK_FREE,36368,36389,22
SHOCK_FREE,36438,36479,42
SHOCK_FREE,36482,36501,20
SHOCK_FREE,36582,36621,40
SHOCK_FREE,36624,36647,24
SHOCK_FREE,36680,36717,38
SHOCK_FREE,36734,36761,28
SHOCK_FREE,36770,36809,40
SHOCK_FREE,36812,36849,38
SHOCK_FREE,36864,36891,28
SHOCK_FREE,36894,36935,42
SHOCK_FREE,36938,36975,38
SHOCK_FREE,37002,37025,24
SHOCK_FREE,37028,37065,38
SHOCK_FREE,37074,37107,34
SHOCK_FREE,37158,37185,28
SHOCK_FREE,37188,37209,22
SHOCK_FREE,37268,37289,22
SHOCK_FREE,37292,37317,26
SHOCK_FREE,37352,37389,38
SHOCK_FREE,37404,37457,54
SHOCK_FREE,37470,37521,52
SHOCK_FREE,37524,37575,52
SHOCK_FREE,37578,37625,48
SHOCK_FREE,37638,37667,30
SHOCK_FREE,37680,37709,30
SHOCK_FREE,37734,37757,24
SHOCK_FREE,37772,37799,28
SHOCK_FREE,37842,37881,40
SHOCK_FREE,37910,37929,20
SHOCK_FREE,37980,38007,28
SHOCK_FREE,38042,38079,38
SHOCK_FREE,38142,38171,30
SHOCK_FREE,38192,38241,50
SHOCK_FREE,38294,38357,64
SHOCK_FREE,38360,38381,22
SHOCK_FREE,38384,38405,22
SHOCK_FREE,38430,38471,42
SHOCK_FREE,38538,38577,40
SHOCK_FREE,38588,38657,70
SHOCK_FREE,38660,38679,20
SHOCK_FREE,38684,38759,76
SHOCK_FREE,38810,38835,26
SHOCK_FREE,38912,38955,44
SHOCK_FREE,38964,38987,24
SHOCK_FREE,39002,39035,34
SHOCK_FREE,39038,39057,20
SHOCK_FREE,39072,39099,28
SHOCK_FREE,39102,39129,28
SHOCK_FREE,39132,39165,34
SHOCK_FREE,39224,39267,44
SHOCK_FREE,39290,39327,38
SHOCK_FREE,39338,39377,40
SHOCK_FREE,39380,39405,26
SHOCK_FREE,39468,39491,24
SHOCK_FREE,39518,39545,28
SHOCK_FREE,39548,39599,52
SHOCK_FREE,39618,39671,54
SHOCK_FREE,39674,39705,32
SHOCK_FREE,39758,39801,44
SHOCK_FREE,39804,39831,28
SHOCK_FREE,39834,39887,54
SHOCK_FREE,39890,39909,20
SHOCK_FREE,39974,40001,28
SHOCK_FREE,40004,40065,62
SHOCK_FREE,40098,40119,22
SHOCK_FREE,40142,40197,56
SHOCK_FREE,40218,40245,28
SHOCK_FREE,40400,40419,20
SHOCK_FREE,40422,40461,40
SHOCK_FREE,40464,40499,36
SHOCK_FREE,40502,40539,38
SHOCK_FREE,40568,40617,50
SHOCK_FREE,40674,40719,46
SHOCK_FREE,40770,40835,66
SHOCK_FREE,40838,40889,52
SHOCK_FREE,40892,40911,20
SHOCK_FREE,40922,40965,44
SHOCK_FREE,41004,41027,24
SHOCK_FREE,41030,41051,22
SHOCK_FREE,41100,41157,58
SHOCK_FREE,41160,41205,46
SHOCK_FREE,41220,41271,52
SHOCK_FREE,41318,41337,20
SHOCK_FREE,41360,41405,46
SHOCK_FREE,41418,41447,30
SHOCK_FREE,41450,41469,20
SHOCK_FREE,41474,41499,26
SHOCK_FREE,41502,41525,24
SHOCK_FREE,41538,41561,24
SHOCK_FREE,41582,41621,40
SHOCK_FREE,41624,41661,38
SHOCK_FREE,41712,41745,34
SHOCK_FREE,41754,41805,52
SHOCK_FREE,41832,41867,36
SHOCK_FREE,41870,41889,20
SHOCK_FREE,41892,41915,24
SHOCK_FREE,41918,41987,70
SHOCK_FREE,42012,42035,24
SHOCK_FREE,42038,42057,20
SHOCK_FREE,42060,42101,42
SHOCK_FREE,42128,42147,20
SHOCK_FREE,42174,42231,58
SHOCK_FREE,42248,42267,20
SHOCK_FREE,42278,42317,40
SHOCK_FREE,42320,42399,80
SHOCK_FREE,42432,42477,46
SHOCK_FREE,42480,42519,40
SHOCK_FREE,42548,42581,34
SHOCK_FREE,42632,42669,38
SHOCK_FREE,42674,42731,58
SHOCK_FREE,42740,42759,20
SHOCK_FREE,42828,42849,22
SHOCK_FREE,42920,42945,26
SHOCK_FREE,42948,42969,22
SHOCK_FREE,42984,43037,54
SHOCK_FREE,43040,43079,40
SHOCK_FREE,43098,43137,40
SHOCK_FREE,43158,43191,34
SHOCK_FREE,43290,43341,52
SHOCK_FREE,43364,43407,44
SHOCK_FREE,43430,43487,58
SHOCK_FREE,43532,43551,20
SHOCK_FREE,43554,43599,46
SHOCK_FREE,43622,43655,34
SHOCK_FREE,43664,43697,34
SHOCK_FREE,43764,43805,42
SHOCK_FREE,43874,43919,46
SHOCK_FREE,43958,44001,44
SHOCK_FREE,44004,44037,34
SHOCK_FREE,44040,44061,22
SHOCK_FREE,44070,44115,46
SHOCK_FREE,44118,44145,28
SHOCK_FREE,44174,44195,22
SHOCK_FREE,44198,44225,28
SHOCK_FREE,44244,44285,42
SHOCK_FREE,44288,44307,20
SHOCK_FREE,44348,44375,28
SHOCK_FREE,44432,44459,28
SHOCK_FREE,44478,44501,24
SHOCK_FREE,44522,44579,58
SHOCK_FREE,44600,44661,62
SHOCK_FREE,44664,44711,48
SHOCK_FREE,44720,44741,22
SHOCK_FREE,44768,44789,22
SHOCK_FREE,44802,44829,28
SHOCK_FREE,44834,44859,26
SHOCK_FREE,44862,44897,36
SHOCK_FREE,44930,44949,20
SHOCK_FREE,44970,45039,70
SHOCK_FREE,45048,45077,30
SHOCK_FREE,45114,45149,36
